,time,year,month,day,latitude,longitude,mag,depth,Pais,PERIOD,MAG_SEG,NewDate,NewMonth,cluster_label,acum_day,ill_frac,r/km,dec,ra/h,ra/°,ill_frac_interpolated,r/km_interpolated,dec_interpolated,td_acc,td_acc_interpolated,ra/°_interpolated,ra/h_interpolated,DEC_SEG,DEC_INTERPOLATED_SEG,DEPTH_SEG,ACUM_DAY_SEG,LATITUDE_SEG,LONGITUDE_SEG,ILL_FRAC_SEG,ILL_FRAC_INTERPOLATED_SEG,RA/°_SEG,RA/H_SEG,R/KM_SEG,R/KM_INTERPOLATED_SEG,TD_ACC_INTERPOLATED_SEG,TD_ACC_SEG,RA/H_INTERPOLATED_SEG,RA/°_INTERPOLATED_SEG,week
174428,25/02/2011 04:40,2011,2,25,-43.579,172.661,4.9,6.3,New Zealand,"[2008, 2013)",1,20/02/2011 04:40,2,14,56,49.87745775,379642.7529,-23.40694736,16.27029172,244.0543758,47.82205715,380660.5074,-23.51919588,0.611,0.620338889,246.8676055,16.45784037,0,0,0,1,1,7,9,9,16,5,11,12,6,6,5,16,1
174430,25/02/2011 10:09,2011,2,25,-40.972,-16.524,4.8,10,No_Country,"[2008, 2013)",1,20/02/2011 10:09,2,43,56,49.87745775,379642.7529,-23.40694736,16.27029172,244.0543758,45.40521906,381857.2317,-23.65118305,0.611,0.63132,250.1755352,16.67836902,0,0,0,1,1,3,9,9,16,5,11,12,6,6,5,16,1
174431,25/02/2011 10:16,2011,2,25,-24.72,-177.201,4.8,81.7,No_Country,"[2008, 2013)",1,20/02/2011 10:16,2,3,56,49.87745775,379642.7529,-23.40694736,16.27029172,244.0543758,45.35459825,381882.2972,-23.65394753,0.611,0.63155,250.24482,16.682988,0,0,2,1,2,0,9,9,16,5,11,12,6,6,5,16,1
174432,25/02/2011 10:32,2011,2,25,-40.989,-16.398,4.8,10,No_Country,"[2008, 2013)",1,20/02/2011 10:32,2,43,56,49.87745775,379642.7529,-23.40694736,16.27029172,244.0543758,45.23648303,381940.7832,-23.66039798,0.611,0.632086667,250.4064845,16.69376563,0,0,0,1,1,3,9,9,16,5,11,12,6,6,5,16,1
174434,25/02/2011 13:07,2011,2,25,17.843,-95.007,5.9,122.7,Mexico,"[2008, 2013)",4,20/02/2011 13:07,2,1,56,49.87745775,379642.7529,-23.40694736,16.27029172,244.0543758,44.10057157,382503.2425,-23.72243182,0.611,0.637247778,251.9612081,16.79741388,0,0,3,1,4,1,9,8,16,5,11,13,6,6,5,16,1
174435,25/02/2011 19:12,2011,2,25,34.333,140.235,5.3,66.8,Japan,"[2008, 2013)",2,20/02/2011 19:12,2,5,56,49.87745775,379642.7529,-23.40694736,16.27029172,244.0543758,41.42219262,383829.4716,-23.86870213,0.611,0.649417222,255.6271092,17.04180728,0,0,2,1,6,7,9,8,16,5,11,13,6,6,5,17,1
174438,25/02/2011 22:08,2011,2,25,-3.047,100.996,5.1,50.1,Indonesia,"[2008, 2013)",2,20/02/2011 22:08,2,7,56,49.87745775,379642.7529,-23.40694736,16.27029172,244.0543758,40.13026147,384469.1857,-23.93925643,0.611,0.655287222,257.3953772,17.15969181,0,0,2,1,3,6,9,8,16,5,11,14,6,6,5,17,1
174440,26/02/2011 00:11,2011,2,26,-21.81,170.247,5,10,New Caledonia,"[2008, 2013)",1,21/02/2011 00:11,2,19,57,39.3131144,384873.8052,-23.98388206,17.23425384,258.5138076,39.23669735,384911.374,-23.97812454,0.659,0.659950301,258.6233729,17.24155819,0,0,0,1,2,7,7,7,17,5,14,14,6,6,5,17,1
174441,26/02/2011 01:03,2011,2,26,-20.489,168.412,5.1,36.5,New Caledonia,"[2008, 2013)",2,21/02/2011 01:03,2,19,57,39.3131144,384873.8052,-23.98388206,17.23425384,258.5138076,38.87868404,385087.3837,-23.95115058,0.659,0.664402454,259.1366855,17.27577904,0,0,1,1,2,7,7,7,17,5,14,14,6,6,5,17,1
174442,26/02/2011 02:10,2011,2,26,-10.622,164.899,5.9,49.2,Solomon Islands,"[2008, 2013)",4,21/02/2011 02:10,2,33,57,39.3131144,384873.8052,-23.98388206,17.23425384,258.5138076,38.42472362,385310.5638,-23.91694763,0.659,0.670047778,259.7875654,17.31917102,0,0,2,1,3,7,7,7,17,5,14,14,6,6,5,17,1
174446,26/02/2011 06:29,2011,2,26,-6.556,107.187,5,187.4,Indonesia,"[2008, 2013)",1,21/02/2011 06:29,2,7,57,39.3131144,384873.8052,-23.98388206,17.23425384,258.5138076,36.6589561,386178.6662,-23.78390859,0.659,0.692006366,262.3192892,17.48795261,0,0,3,1,3,6,7,7,17,5,14,15,6,6,5,17,1
174449,26/02/2011 14:40,2011,2,26,38.194,143.158,5,22,Japan,"[2008, 2013)",1,21/02/2011 14:40,2,5,57,39.3131144,384873.8052,-23.98388206,17.23425384,258.5138076,33.31136701,387824.4379,-23.53168964,0.659,0.733636042,267.1189987,17.80793325,0,0,1,1,6,7,7,6,17,5,14,15,7,6,5,17,1
174450,26/02/2011 15:38,2011,2,26,37.36,141.652,5.1,27.1,Japan,"[2008, 2013)",2,21/02/2011 15:38,2,5,57,39.3131144,384873.8052,-23.98388206,17.23425384,258.5138076,32.91781353,388017.9202,-23.50203796,0.659,0.738530162,267.6832682,17.84555121,0,0,1,1,6,7,7,6,17,5,14,16,7,6,5,17,1
