,time,year,month,day,latitude,longitude,mag,depth,Pais,PERIOD,MAG_SEG,NewDate,NewMonth,cluster_label,acum_day,ill_frac,r/km,dec,ra/h,ra/°,ill_frac_interpolated,r/km_interpolated,dec_interpolated,td_acc,td_acc_interpolated,ra/°_interpolated,ra/h_interpolated,DEC_SEG,DEC_INTERPOLATED_SEG,DEPTH_SEG,ACUM_DAY_SEG,LATITUDE_SEG,LONGITUDE_SEG,ILL_FRAC_SEG,ILL_FRAC_INTERPOLATED_SEG,RA/°_SEG,RA/H_SEG,R/KM_SEG,R/KM_INTERPOLATED_SEG,TD_ACC_INTERPOLATED_SEG,TD_ACC_SEG,RA/H_INTERPOLATED_SEG,RA/°_INTERPOLATED_SEG,week
174446,2011-02-26 06:29:35,2011,2,26,-6.556,107.187,5.0,187.4,Indonesia,"[2008, 2013)",1,2011-02-21 06:29:35,2,7,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,36.6589561007908,386178.6662307028,-23.78390859149041,0.659,0.6920063657407408,262.31928920983046,17.48795261398869,0,0,3,1,3,6,7,7,17,5,14,15,6,6,5,17,1
174449,2011-02-26 14:40:57,2011,2,26,38.194,143.158,5.0,22.0,Japan,"[2008, 2013)",1,2011-02-21 14:40:57,2,5,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,33.311367013263066,387824.43793769286,-23.5316896421477,0.659,0.7336360416666667,267.1189987313019,17.80793324875344,0,0,1,1,6,7,7,6,17,5,14,15,7,6,5,17,1
174450,2011-02-26 15:38:43,2011,2,26,37.36,141.652,5.1,27.1,Japan,"[2008, 2013)",2,2011-02-21 15:38:43,2,5,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,32.917813530549175,388017.920223034,-23.50203796049714,0.659,0.738530162037037,267.68326822460017,17.845551214973323,0,0,1,1,6,7,7,6,17,5,14,16,7,6,5,17,1
174451,2011-02-26 16:03:12,2011,2,26,-16.021,-176.453,4.8,364.1,Wallis and Futuna,"[2008, 2013)",1,2011-02-21 16:03:12,2,3,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,32.751013165255834,388099.9241114258,-23.489470643606005,0.659,0.7406044444444445,267.92242341376783,17.861494894251166,0,0,5,1,3,0,7,6,17,5,14,16,7,6,5,17,1
174452,2011-02-26 17:17:52,2011,2,26,-9.228,-109.61,5.4,10.0,No_Country,"[2008, 2013)",3,2011-02-21 17:17:52,2,17,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,32.24232314720671,388350.01085070113,-23.45114417684475,0.659,0.7469303703703704,268.6517734801199,17.91011823200797,0,0,0,1,3,1,7,6,17,5,14,16,7,6,5,17,1
174453,2011-02-26 17:18:59,2011,2,26,36.13,137.486,4.9,6.6,Japan,"[2008, 2013)",1,2011-02-21 17:18:59,2,5,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,32.23471550631178,388353.7509872037,-23.45057099084631,0.659,0.7470249768518519,268.6626811708444,17.9108454113896,0,0,0,1,6,7,7,6,17,5,14,16,7,6,5,17,1
174454,2011-02-26 17:20:04,2011,2,26,38.092,143.474,4.8,7.4,Japan,"[2008, 2013)",1,2011-02-21 17:20:04,2,5,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,32.22733495917491,388357.3794778405,-23.45001491487768,0.659,0.7471167592592592,268.67326325886063,17.91155088392402,0,0,0,1,6,7,7,6,17,5,14,16,7,6,5,17,1
174455,2011-02-26 19:24:20,2011,2,26,-54.655,-119.305,5.4,10.0,No_Country,"[2008, 2013)",3,2011-02-21 19:24:20,2,26,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,31.38072942913601,388773.59526534873,-23.38622872376787,0.659,0.7576449074074074,269.88711015500377,17.992474010333556,0,0,0,1,0,1,7,6,17,5,14,16,7,6,5,17,1
174456,2011-02-26 20:38:02,2011,2,26,36.121,137.353,5.1,3.4,Japan,"[2008, 2013)",2,2011-02-21 20:38:02,2,5,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,30.87862513007056,389020.4442745174,-23.34839844787093,0.659,0.7638889351851852,270.60701774281824,18.04046784952119,0,0,0,1,6,7,7,6,17,5,14,16,7,6,6,18,1
174457,2011-02-26 22:19:41,2011,2,26,7.959,-38.846,4.8,10.0,No_Country,"[2008, 2013)",1,2011-02-21 22:19:41,2,55,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,30.186102714873776,389360.9083421157,-23.29622141198324,0.659,0.7725009490740741,271.59994320145245,18.1066628800968,0,0,0,1,4,3,7,6,17,5,14,16,7,6,6,18,1
174462,2011-02-27 10:12:13,2011,2,27,47.279,153.897,4.8,53.4,No_Country,"[2008, 2013)",1,2011-02-22 10:12:13,2,46,58,29.5026640499993,389696.906575084,-23.2447287772877,18.1719896367839,272.579844551759,25.791101444341383,391511.93879063416,-22.43316888831796,0.781,0.8511498263888889,278.31286810929447,18.55419120728625,0,0,2,1,6,7,5,5,18,6,16,17,8,7,6,18,1
174464,2011-02-27 11:45:59,2011,2,27,-20.261,-69.082,4.9,108.1,Chile,"[2008, 2013)",1,2011-02-22 11:45:59,2,6,58,29.5026640499993,389696.906575084,-23.2447287772877,18.1719896367839,272.579844551759,25.222641171033143,391789.9278262339,-22.30887095634008,0.781,0.8618939236111111,279.19093389577245,18.61272892638478,0,0,3,1,2,2,5,5,18,6,16,17,8,7,6,18,1
174468,2011-02-28 01:29:25,2011,2,28,-37.36,-73.695,5.8,31.5,Chile,"[2008, 2013)",4,2011-02-23 01:29:25,2,37,59,20.7726662515934,393966.059201429,-21.335851897997,19.0709691835512,286.064537753269,20.313257457964177,394192.5570034188,-21.156728726336027,0.946,0.956990798611111,286.8604147112902,19.12402764741929,0,0,1,1,1,2,4,4,19,6,18,19,9,9,6,19,1
174469,2011-02-28 01:32:38,2011,2,28,-23.589,-68.41,5.0,138.8,Chile,"[2008, 2013)",1,2011-02-23 01:32:38,2,6,59,20.7726662515934,393966.059201429,-21.335851897997,19.0709691835512,286.064537753269,20.296730729693824,394200.7050138165,-21.15028496638625,0.946,0.9573861805555556,286.88904551332155,19.125936367554708,0,0,3,1,2,2,4,4,19,6,18,19,9,9,6,19,1
174470,2011-02-28 02:03:14,2011,2,28,-17.703,-173.807,5.0,13.1,Tonga,"[2008, 2013)",1,2011-02-23 02:03:14,2,3,59,20.7726662515934,393966.059201429,-21.335851897997,19.0709691835512,286.064537753269,20.139512734334414,394278.2166567715,-21.08898577847021,0.946,0.9611474305555556,287.1614089979305,19.144093933195307,0,0,0,1,3,0,4,4,19,6,18,19,9,9,6,19,1
174471,2011-02-28 02:03:26,2011,2,28,32.356,142.384,5.1,26.5,Japan region,"[2008, 2013)",2,2011-02-23 02:03:26,2,5,59,20.7726662515934,393966.059201429,-21.335851897997,19.0709691835512,286.064537753269,20.138485165737293,394278.72326881695,-21.088585130183176,0.946,0.9611720138888888,287.1631891514247,19.14421261009492,0,0,1,1,6,7,4,4,19,6,18,19,9,9,6,19,1
174472,2011-02-28 02:24:25,2011,2,28,-15.138,-176.511,5.2,10.0,Wallis and Futuna,"[2008, 2013)",2,2011-02-23 02:24:25,2,3,59,20.7726662515934,393966.059201429,-21.335851897997,19.0709691835512,286.064537753269,20.03067609375608,394331.87531591946,-21.04655044740197,0.946,0.9637512152777776,287.34995692218865,19.15666379481252,0,0,0,1,3,0,4,4,19,6,18,19,9,9,6,19,1
174475,2011-02-28 07:49:07,2011,2,28,34.98,25.42,5.7,53.0,Greece,"[2008, 2013)",4,2011-02-23 07:49:07,2,16,59,20.7726662515934,393966.059201429,-21.335851897997,19.0709691835512,286.064537753269,18.3624184763312,395154.35997171904,-20.39609795340401,0.946,1.0036622569444444,290.2400361199836,19.349335741332197,0,0,2,1,6,4,4,3,19,6,18,19,10,9,6,19,1
174476,2011-02-28 09:13:43,2011,2,28,-20.105,67.398,5.1,10.0,No_Country,"[2008, 2013)",2,2011-02-23 09:13:43,2,29,59,20.7726662515934,393966.059201429,-21.335851897997,19.0709691835512,286.064537753269,17.927756959749292,395368.65686694736,-20.22662372798908,0.946,1.0140610069444445,290.9930410480201,19.399536069867963,0,0,0,1,2,5,4,3,19,6,18,19,10,9,6,19,1
174480,2011-02-28 10:27:16,2011,2,28,-36.692,-73.422,4.8,35.0,Chile,"[2008, 2013)",1,2011-02-23 10:27:16,2,37,59,20.7726662515934,393966.059201429,-21.335851897997,19.0709691835512,286.064537753269,17.549868608158285,395554.9634466642,-20.07928532043272,0.946,1.0231015277777775,291.6476924955033,19.443179499700182,0,0,1,1,1,2,4,3,19,6,18,19,10,9,6,19,1
